contig,contrast,logFC,logCPM,LR,PValue,FDR,Accession,Fullname,Altnames,Pfam,GO,CellularComponent,Molecular.Function,Biological.Process
contig-60_2283,binary.seasonlate.and.fall,8.142622832,5.035368911,29.47560439,5.66E-08,3.39E-06,,,, , , , , 
contig-60_884540,binary.seasonlate.and.fall,8.143144846,4.593666212,29.68008224,5.10E-08,3.12E-06,P17312 Q9T0U4 Q9T0U5 Q9T0U6,"Terminase, large subunit",DNA-packaging protein Gp17;Gene product 17;, PF03237;PF17289;, GO:0098009;GO:0005524;GO:0046872;GO:0004518;GO:0032359;GO:0019072;GO:0046797;,"  C:viral terminase, large subunit;",  F:ATP binding; F:metal ion binding; F:nuclease activity;,  P:provirus excision; P:viral genome packaging; P:viral procapsid maturation;
contig-60_181771,binary.seasonlate.and.fall,8.146843328,3.951665788,26.92701555,2.11E-07,8.87E-06,,,, , , , , 
contig-60_145643,binary.seasonlate.and.fall,8.148391788,3.775911498,29.10976499,6.84E-08,3.87E-06,,,, , , , , 
contig-60_19231,binary.seasonlate.and.fall,8.148682007,4.314964221,25.66309195,4.07E-07,1.46E-05,,,, , , , , 
contig-60_6799,binary.seasonlate.and.fall,8.14934441,4.535277001,29.80177683,4.79E-08,3.02E-06,,,, , , , , 
contig-60_26645,binary.seasonlate.and.fall,8.151891136,4.417390303,25.87727087,3.64E-07,1.34E-05,,,, , , , , 
contig-60_50688,binary.seasonlate.and.fall,8.152351926,5.094203046,39.06430505,4.10E-10,3.70E-07,P06807 Q38427 Q9T0U1,Prohead core protein protease,Protein Gp21;, PF03420;, GO:0019012;GO:0008233;GO:0046797;,  C:virion;,  F:peptidase activity;,  P:viral procapsid maturation;
contig-60_68006,binary.seasonlate.and.fall,8.15369277,4.925109093,19.99724575,7.76E-06,0.000178493,,,, , , , , 
contig-60_392764,binary.seasonlate.and.fall,8.155141079,3.967397793,29.96828036,4.39E-08,2.84E-06,,,, , , , , 
contig-60_79504,binary.seasonlate.and.fall,8.156588239,3.753970989,31.68899111,1.81E-08,1.56E-06,,,, , , , , 
contig-60_280928,binary.seasonlate.and.fall,8.158003414,4.25399827,22.57860726,2.02E-06,5.45E-05,,,, , , , , 
contig-60_10273,binary.seasonlate.and.fall,8.170344102,4.869469873,29.16307696,6.65E-08,3.79E-06,,,, , , , , 
contig-60_39356,binary.seasonlate.and.fall,8.171198587,3.575657408,21.18317569,4.17E-06,0.000101922,,,, , , , , 
contig-60_285,binary.seasonlate.and.fall,8.174290407,6.418194259,23.81054725,1.06E-06,3.19E-05,P15075,Head completion protein Gp50,Protein Gp4;, , , , , 
contig-60_180079,binary.seasonlate.and.fall,8.17760586,5.414812814,29.46545897,5.69E-08,3.39E-06,,,, , , , , 
contig-60_25352,binary.seasonlate.and.fall,8.178789761,3.965104321,25.32701964,4.84E-07,1.69E-05,,,, , , , , 
contig-60_51963,binary.seasonlate.and.fall,8.182546893,4.620042166,13.72150291,0.000212013,0.003646271,P13333,Tail tube protein gp19 {ECO:0000305},Gene product 19 {ECO:0000305};, PF06841;, GO:0019012;GO:0098026;GO:0005198;GO:0099000;,"  C:virion; C:virus tail, tube;",  F:structural molecule activity;,"  P:viral genome ejection through host cell envelope, contractile tail mechanism;"
contig-60_5982,binary.seasonlate.and.fall,8.182619056,5.758381117,23.57509368,1.20E-06,3.55E-05,,,, , , , , 
contig-60_818765,binary.seasonlate.and.fall,8.183243538,3.867095144,24.28691984,8.30E-07,2.62E-05,,,, , , , , 
contig-60_4504335,binary.seasonlate.and.fall,8.184064477,4.068901443,20.31841335,6.56E-06,0.000153265,,,, , , , , 
contig-60_78373,binary.seasonlate.and.fall,8.190579393,3.772146778,25.68805818,4.01E-07,1.45E-05,,,, , , , , 
contig-60_17251,binary.seasonlate.and.fall,8.192904298,3.89953559,25.28954675,4.93E-07,1.72E-05,Q5UQN9,Uncharacterized protein R449,, , , , , 
contig-60_53682,binary.seasonlate.and.fall,8.196923658,3.735652813,29.79364226,4.81E-08,3.03E-06,Q5UR12,"Putative dTDP-D-glucose 4,6-dehydratase",, PF16363;, GO:0008460;, ,"  F:dTDP-glucose 4,6-dehydratase activity;", 
contig-60_68282,binary.seasonlate.and.fall,8.197096938,5.585296253,34.90960023,3.45E-09,7.11E-07,,,, , , , , 
contig-60_48440,binary.seasonlate.and.fall,8.199698704,5.326094015,15.75823445,7.20E-05,0.001360263,P29933,Aerobic cobaltochelatase subunit CobS,"Hydrogenobyrinic acid a,c-diamide cobaltochelatase subunit CobS;", PF07728;PF08406;PF12556;, GO:0005737;GO:0005524;GO:0016887;GO:0051116;GO:0009236;GO:0006779;,  C:cytoplasm;,  F:ATP binding; F:ATPase activity; F:cobaltochelatase activity;,  P:cobalamin biosynthetic process; P:porphyrin-containing compound biosynthetic process;
contig-60_230060,binary.seasonlate.and.fall,8.199886034,4.023348202,28.01443123,1.20E-07,5.81E-06,,,, , , , , 
contig-60_1365539,binary.seasonlate.and.fall,8.201225757,4.30570549,29.84700603,4.68E-08,2.96E-06,,,, , , , , 
contig-60_130005,binary.seasonlate.and.fall,8.203097392,3.766568997,14.12872683,0.000170717,0.002998811,,,, , , , , 
contig-60_456197,binary.seasonlate.and.fall,8.206368562,4.079548519,29.98011889,4.36E-08,2.84E-06,,,, , , , , 
contig-60_2425,binary.seasonlate.and.fall,8.20640336,4.956044901,35.77150657,2.22E-09,6.03E-07,,,, , , , , 
contig-60_220480,binary.seasonlate.and.fall,8.206500067,4.395309843,26.99338835,2.04E-07,8.65E-06,,,, , , , , 
contig-60_883924,binary.seasonlate.and.fall,8.206631751,4.21726472,23.35464238,1.35E-06,3.91E-05,P28851,Thymidine kinase,, PF00265;, GO:0005524;GO:0046872;GO:0004797;GO:0071897;, ,  F:ATP binding; F:metal ion binding; F:thymidine kinase activity;,  P:DNA biosynthetic process;
contig-60_40751,binary.seasonlate.and.fall,8.207574631,4.616440486,18.26750549,1.92E-05,0.000406492,,,, , , , , 
contig-60_1806153,binary.seasonlate.and.fall,8.208560019,4.053183087,31.40029878,2.10E-08,1.71E-06,,,, , , , , 
contig-60_268,binary.seasonlate.and.fall,8.209023077,6.348932408,28.48242307,9.46E-08,4.84E-06,P00806 Q38567,Endolysin {ECO:0000255|HAMAP-Rule:MF_04111},N-acetylmuramoyl-L-alanine amidase {ECO:0000255|HAMAP-Rule:MF_04111};, PF01510;, GO:0030430;GO:0008745;GO:0008270;GO:0019835;GO:0044659;GO:0042742;GO:0032897;GO:0009253;,  C:host cell cytoplasm;,  F:N-acetylmuramoyl-L-alanine amidase activity; F:zinc ion binding;,  P:cytolysis; P:cytolysis by virus of host cell; P:defense response to bacterium; P:negative regulation of viral transcription; P:peptidoglycan catabolic process;
contig-60_21912,binary.seasonlate.and.fall,8.212857221,5.157520973,27.45499006,1.61E-07,7.20E-06,,,, , , , , 
contig-60_38696,binary.seasonlate.and.fall,8.214061445,5.055055935,33.21896593,8.23E-09,1.06E-06,P15075,Head completion protein Gp50,Protein Gp4;, , , , , 
contig-60_9818,binary.seasonlate.and.fall,8.214805924,5.305256244,31.23106471,2.29E-08,1.81E-06,,,, , , , , 
contig-60_573535,binary.seasonlate.and.fall,8.216085397,3.968889973,34.56246673,4.13E-09,7.97E-07,,,, , , , , 
contig-60_20000,binary.seasonlate.and.fall,8.216569543,5.030299056,23.2335031,1.43E-06,4.13E-05,P44914,"dTDP-glucose 4,6-dehydratase {ECO:0000250|UniProtKB:P27830}",, PF16363;, GO:0008460;GO:0019305;GO:0045226;GO:0009103;GO:0009243;, ,"  F:dTDP-glucose 4,6-dehydratase activity;",  P:dTDP-rhamnose biosynthetic process; P:extracellular polysaccharide biosynthetic process; P:lipopolysaccharide biosynthetic process; P:O antigen biosynthetic process;
contig-60_2725661,binary.seasonlate.and.fall,8.217593561,4.331635016,26.64046145,2.45E-07,9.98E-06,,,, , , , , 
contig-60_1053798,binary.seasonlate.and.fall,8.219284864,4.305044704,36.86611858,1.27E-09,4.67E-07,O41156,Probable flavin-dependent thymidylate synthase {ECO:0000250|UniProtKB:Q9WYT0},FAD-dependent thymidylate synthase {ECO:0000250|UniProtKB:Q9WYT0};, PF02511;, GO:0050660;GO:0050797;GO:0006231;GO:0006235;, ,  F:flavin adenine dinucleotide binding; F:thymidylate synthase (FAD) activity;,  P:dTMP biosynthetic process; P:dTTP biosynthetic process;
contig-60_292995,binary.seasonlate.and.fall,8.223778603,4.742703976,27.24366551,1.79E-07,7.84E-06,,,, , , , , 
contig-60_1135285,binary.seasonlate.and.fall,8.225316541,3.94365077,24.05791621,9.35E-07,2.88E-05,Q5UQM6,Putative transcription factor R429,, PF08792;PF04947;, GO:0046872;GO:0046782;, ,  F:metal ion binding;,  P:regulation of viral transcription;
contig-60_693757,binary.seasonlate.and.fall,8.226824329,4.49218248,23.22553918,1.44E-06,4.14E-05,,,, , , , , 
contig-60_5829,binary.seasonlate.and.fall,8.228473263,5.512224914,30.71124595,2.99E-08,2.18E-06,,,, , , , , 
contig-60_1162820,binary.seasonlate.and.fall,8.229294553,4.148484089,29.30207044,6.19E-08,3.62E-06,,,, , , , , 
contig-60_12999,binary.seasonlate.and.fall,8.231026996,3.981321104,24.54565748,7.26E-07,2.35E-05,Q1I0V1,Uncharacterized protein VP1,, PF13884;, , , , 
contig-60_450342,binary.seasonlate.and.fall,8.23247657,3.819192205,28.78492158,8.09E-08,4.35E-06,,,, , , , , 
contig-60_2606425,binary.seasonlate.and.fall,8.236931621,4.03068049,19.63420323,9.38E-06,0.000210521,P17312 Q9T0U4 Q9T0U5 Q9T0U6,"Terminase, large subunit",DNA-packaging protein Gp17;Gene product 17;, PF03237;PF17289;, GO:0098009;GO:0005524;GO:0046872;GO:0004518;GO:0032359;GO:0019072;GO:0046797;,"  C:viral terminase, large subunit;",  F:ATP binding; F:metal ion binding; F:nuclease activity;,  P:provirus excision; P:viral genome packaging; P:viral procapsid maturation;
contig-60_10683,binary.seasonlate.and.fall,8.237042371,4.486656286,36.08621667,1.89E-09,5.59E-07,P00452 P78088 P78177,Ribonucleoside-diphosphate reductase 1 subunit alpha,Protein B1;Ribonucleoside-diphosphate reductase 1 R1 subunit;Ribonucleotide reductase 1;, PF03477;PF02867;PF00317;, GO:0005829;GO:0005971;GO:0005524;GO:0042802;GO:0004748;GO:0009263;GO:0006260;GO:0015949;,  C:cytosol; C:ribonucleoside-diphosphate reductase complex;,"  F:ATP binding; F:identical protein binding; F:ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor;",  P:deoxyribonucleotide biosynthetic process; P:DNA replication; P:nucleobase-containing small molecule interconversion;
contig-60_1335397,binary.seasonlate.and.fall,8.23751678,3.948635549,29.47200773,5.67E-08,3.39E-06,,,, , , , , 
contig-60_117764,binary.seasonlate.and.fall,8.238053625,4.367389966,14.52490687,0.000138319,0.0024693,,,, , , , , 
contig-60_46645,binary.seasonlate.and.fall,8.238867556,3.911099736,29.07493233,6.96E-08,3.90E-06,Q55971,DNA polymerase I,, PF01367;PF02739;PF00476;PF01612;, GO:0005737;GO:0008408;GO:0008409;GO:0003677;GO:0003887;GO:0006281;GO:0006261;,  C:cytoplasm;,  F:3'-5' exonuclease activity; F:5'-3' exonuclease activity; F:DNA binding; F:DNA-directed DNA polymerase activity;,  P:DNA repair; P:DNA-dependent DNA replication;
contig-60_31814,binary.seasonlate.and.fall,8.245884184,5.20715252,28.07594798,1.17E-07,5.67E-06,,,, , , , , 
contig-60_848274,binary.seasonlate.and.fall,8.246626101,4.010729896,28.90822959,7.59E-08,4.16E-06,,,, , , , , 
contig-60_1307617,binary.seasonlate.and.fall,8.25062781,3.835445561,16.23337409,5.60E-05,0.001080081,Q6WHE8,Tail sheath protein,, PF04984;PF17482;PF17481;, GO:0030430;GO:0098027;GO:0099000;,"  C:host cell cytoplasm; C:virus tail, sheath;", ,"  P:viral genome ejection through host cell envelope, contractile tail mechanism;"
contig-60_721815,binary.seasonlate.and.fall,8.252096344,4.716609925,29.62289467,5.25E-08,3.19E-06,,,, , , , , 
contig-60_7579404,binary.seasonlate.and.fall,8.252552129,3.749164984,15.92273842,6.60E-05,0.001258584,,,, , , , , 
contig-60_129985,binary.seasonlate.and.fall,8.255312949,4.442641873,30.58644089,3.19E-08,2.27E-06,P20703,ATP-dependent DNA helicase uvsW,Dar protein;, PF00271;PF04851;PF11637;, GO:0005524;GO:0003677;GO:0004386;, ,  F:ATP binding; F:DNA binding; F:helicase activity;, 
contig-60_52971,binary.seasonlate.and.fall,8.255324351,4.527549978,26.58578012,2.52E-07,1.02E-05,,,, , , , , 
contig-60_1234215,binary.seasonlate.and.fall,8.2570934,4.012871675,24.85076361,6.19E-07,2.08E-05,,,, , , , , 
contig-60_2360345,binary.seasonlate.and.fall,8.257448221,3.625553485,15.87455824,6.77E-05,0.001288044,,,, , , , , 
contig-60_11535,binary.seasonlate.and.fall,8.259445949,4.097255397,29.30143541,6.19E-08,3.62E-06,P04892 Q7PCG2,Essential recombination function protein,, PF04404;, GO:0003677;, ,  F:DNA binding;, 
contig-60_8175,binary.seasonlate.and.fall,8.262584675,4.437639709,25.35131531,4.78E-07,1.67E-05,P04418 D9IEF4,Endonuclease V {ECO:0000303|PubMed:16916523},DNA-(apurinic or apyrimidinic site) lyase;T4 pyrimidine dimer glycosylase {ECO:0000303|PubMed:16916523};, PF03013;, GO:0140078;GO:0033959;GO:0003906;GO:0004519;GO:0000704;GO:0006281;, ,  F:class I DNA-(apurinic or apyrimidinic site) endonuclease activity; F:deoxyribodipyrimidine endonucleosidase activity; F:DNA-(apurinic or apyrimidinic site) endonuclease activity; F:endonuclease activity; F:pyrimidine dimer DNA N-glycosylase activity;,  P:DNA repair;
contig-60_19416,binary.seasonlate.and.fall,8.26364244,3.900363831,26.1167222,3.21E-07,1.21E-05,Q1I0V1,Uncharacterized protein VP1,, PF13884;, , , , 
contig-60_13474,binary.seasonlate.and.fall,8.263770196,4.159407309,32.21741814,1.38E-08,1.34E-06,,,, , , , , 
contig-60_6908,binary.seasonlate.and.fall,8.271913463,5.787321831,22.65979566,1.93E-06,5.26E-05,,,, , , , , 
contig-60_58009,binary.seasonlate.and.fall,8.272286649,3.632172111,24.61624133,7.00E-07,2.29E-05,,,, , , , , 
contig-60_211297,binary.seasonlate.and.fall,8.273350446,3.950560728,23.17247646,1.48E-06,4.23E-05,,,, , , , , 
contig-60_1082476,binary.seasonlate.and.fall,8.273382794,3.935820764,25.51714576,4.38E-07,1.56E-05,,,, , , , , 
contig-60_1868573,binary.seasonlate.and.fall,8.278411951,3.915153665,22.85681527,1.75E-06,4.81E-05,,,, , , , , 
contig-60_58801,binary.seasonlate.and.fall,8.281631939,3.817203793,36.21932717,1.76E-09,5.49E-07,A7U6E9,Major capsid protein,, PF16903;PF04451;, GO:0019028;GO:0005198;,  C:viral capsid;,  F:structural molecule activity;, 
contig-60_2168,binary.seasonlate.and.fall,8.281839187,4.99552613,28.3530721,1.01E-07,5.02E-06,P11111,Neck protein gp14,Gene product 14;, PF11649;, GO:0019012;,  C:virion;, , 
contig-60_351185,binary.seasonlate.and.fall,8.284341613,4.312218902,33.00257334,9.20E-09,1.12E-06,P59217,Putative terminase large subunit,, PF03354;, , , , 
contig-60_1496,binary.seasonlate.and.fall,8.285058578,6.040854637,19.19994257,1.18E-05,0.000259657,,,, , , , , 
contig-60_1620446,binary.seasonlate.and.fall,8.286249021,6.226337502,35.073794,3.17E-09,7.02E-07,P43754,Ribonucleoside-diphosphate reductase subunit alpha,Ribonucleotide reductase;, PF03477;PF02867;PF00317;, GO:0005971;GO:0005524;GO:0004748;GO:0009263;GO:0006260;,  C:ribonucleoside-diphosphate reductase complex;,"  F:ATP binding; F:ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor;",  P:deoxyribonucleotide biosynthetic process; P:DNA replication;
contig-60_591679,binary.seasonlate.and.fall,8.286324399,4.081597256,29.85297089,4.66E-08,2.96E-06,,,, , , , , 
contig-60_21920,binary.seasonlate.and.fall,8.288126596,4.90299926,28.21605305,1.09E-07,5.32E-06,A7U6E9,Major capsid protein,, PF16903;PF04451;, GO:0019028;GO:0005198;,  C:viral capsid;,  F:structural molecule activity;, 
contig-60_139111,binary.seasonlate.and.fall,8.289126508,3.85968493,25.39244493,4.68E-07,1.65E-05,,,, , , , , 
contig-60_180202,binary.seasonlate.and.fall,8.29039825,4.48076075,26.61476324,2.48E-07,1.00E-05,,,, , , , , 
contig-60_128,binary.seasonlate.and.fall,8.290661717,7.391471146,28.35461439,1.01E-07,5.02E-06,P0DKH3 Q6Y657 Q84W71,Ribonucleoside-diphosphate reductase small chain B,Ribonucleoside-diphosphate reductase R2B subunit;Ribonucleotide reductase small subunit B;, PF00268;, GO:0005737;GO:0046872;GO:0004748;GO:0009263;GO:0006260;,  C:cytoplasm;,"  F:metal ion binding; F:ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor;",  P:deoxyribonucleotide biosynthetic process; P:DNA replication;
contig-60_198489,binary.seasonlate.and.fall,8.291965841,4.823913144,27.86057004,1.30E-07,6.19E-06,,,, , , , , 
contig-60_4528,binary.seasonlate.and.fall,8.29696218,4.733065916,21.52211509,3.50E-06,8.84E-05,,,, , , , , 
contig-60_97254,binary.seasonlate.and.fall,8.297904303,3.97155673,24.76606779,6.47E-07,2.16E-05,,,, , , , , 
contig-60_351495,binary.seasonlate.and.fall,8.29922512,3.902361609,27.21347548,1.82E-07,7.92E-06,,,, , , , , 
contig-60_1362855,binary.seasonlate.and.fall,8.301264807,4.303534394,28.55144754,9.12E-08,4.73E-06,Q5UPT1,Putative transcription initiation factor IIB-like protein,, PF08271;PF00382;, GO:0046872;GO:0017025;GO:0006355;GO:0070897;, ,  F:metal ion binding; F:TBP-class protein binding;,"  P:regulation of transcription, DNA-templated; P:transcription preinitiation complex assembly;"
contig-60_3639020,binary.seasonlate.and.fall,8.301460272,3.837435349,23.23151894,1.44E-06,4.13E-05,,,, , , , , 
contig-60_1446632,binary.seasonlate.and.fall,8.303375685,4.090097338,23.14857485,1.50E-06,4.27E-05,P04524,RNA polymerase sigma factor,Gene product 55;, , GO:0003677;GO:0003899;GO:0016987;GO:0016032;, ,  F:DNA binding; F:DNA-directed 5'-3' RNA polymerase activity; F:sigma factor activity;,  P:viral process;
contig-60_1422257,binary.seasonlate.and.fall,8.307021428,5.827619351,28.97957338,7.31E-08,4.06E-06,,,, , , , , 
contig-60_791216,binary.seasonlate.and.fall,8.31803761,4.113741203,25.40154636,4.66E-07,1.64E-05,P11112 Q9T0U7,Tail completion protein gp15 {ECO:0000305},Gene product 15;Tail connector protein 15 {ECO:0000305};Tail terminator protein {ECO:0000305};, PF16724;, GO:0019012;,  C:virion;, , 
contig-60_1916294,binary.seasonlate.and.fall,8.325885712,3.845208106,26.18570023,3.10E-07,1.18E-05,,,, , , , , 
contig-60_570326,binary.seasonlate.and.fall,8.326732226,4.086031005,25.21126811,5.14E-07,1.78E-05,,,, , , , , 
contig-60_702058,binary.seasonlate.and.fall,8.330426575,4.254807931,30.51760327,3.31E-08,2.32E-06,Q5UQ46,Putative ATP-dependent RNA helicase L396,, PF00271;PF04851;, GO:0005524;GO:0003677;GO:0004386;, ,  F:ATP binding; F:DNA binding; F:helicase activity;, 
contig-60_220072,binary.seasonlate.and.fall,8.334986834,4.041558616,34.9410042,3.40E-09,7.11E-07,,,, , , , , 
contig-60_235381,binary.seasonlate.and.fall,8.335790334,4.474922488,24.14224768,8.95E-07,2.79E-05,,,, , , , , 
contig-60_257832,binary.seasonlate.and.fall,8.345326696,3.792619302,24.39857983,7.83E-07,2.51E-05,Q90023,Superoxide dismutase [Cu-Zn],, PF00080;, GO:0046872;GO:0004784;, ,  F:metal ion binding; F:superoxide dismutase activity;, 
contig-60_489,binary.seasonlate.and.fall,8.347350673,6.664588989,33.09359743,8.78E-09,1.11E-06,,,, , , , , 
contig-60_104754,binary.seasonlate.and.fall,8.348234272,4.110962608,27.86113709,1.30E-07,6.19E-06,,,, , , , , 
contig-60_2686,binary.seasonlate.and.fall,8.35046665,4.560752327,34.05467841,5.36E-09,8.85E-07,P57865,GTP cyclohydrolase 1,GTP cyclohydrolase I;, PF01227;, GO:0005737;GO:0005525;GO:0003934;GO:0008270;GO:0035998;GO:0006730;GO:0046654;,  C:cytoplasm;,  F:GTP binding; F:GTP cyclohydrolase I activity; F:zinc ion binding;,"  P:7,8-dihydroneopterin 3'-triphosphate biosynthetic process; P:one-carbon metabolic process; P:tetrahydrofolate biosynthetic process;"
contig-60_342,binary.seasonlate.and.fall,8.350573983,6.08858508,30.41264305,3.49E-08,2.43E-06,Q6GZT8,Putative ribonucleoside-diphosphate reductase large subunit,Ribonucleotide reductase large subunit;, PF02867;, GO:0004748;GO:0006260;, ,"  F:ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor;",  P:DNA replication;
contig-60_62468,binary.seasonlate.and.fall,8.352954966,6.081052623,31.50839541,1.99E-08,1.67E-06,Q5UQV1,Uncharacterized protein R354,, PF09588;, , , , 
contig-60_5405913,binary.seasonlate.and.fall,8.353465063,6.665274874,26.35476831,2.84E-07,1.11E-05,P79732,Ribonucleoside-diphosphate reductase large subunit,Ribonucleoside-diphosphate reductase subunit M1;Ribonucleotide reductase large subunit;Ribonucleotide reductase protein R1 class I;, PF03477;PF02867;PF00317;, GO:0005971;GO:0005524;GO:0004748;GO:0009263;GO:0006260;,  C:ribonucleoside-diphosphate reductase complex;,"  F:ATP binding; F:ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor;",  P:deoxyribonucleotide biosynthetic process; P:DNA replication;
contig-60_40406,binary.seasonlate.and.fall,8.355839035,4.178071787,23.40209967,1.31E-06,3.84E-05,Q5UQL4,Uncharacterized protein L417,, , GO:0019012;,  C:virion;, , 
contig-60_362801,binary.seasonlate.and.fall,8.358008954,4.055385573,29.4788145,5.65E-08,3.39E-06,Q98544,Putative transcription factor A494R,, PF08792;PF04947;, GO:0046872;GO:0046782;, ,  F:metal ion binding;,  P:regulation of viral transcription;
contig-60_23832,binary.seasonlate.and.fall,8.358224035,4.132813396,30.11474459,4.07E-08,2.71E-06,O78516,ATP-dependent zinc metalloprotease FtsH {ECO:0000255|HAMAP-Rule:MF_01458},, PF00004;PF01434;, GO:0009535;GO:0016021;GO:0005524;GO:0016887;GO:0004222;GO:0008270;GO:0030163;,  C:chloroplast thylakoid membrane; C:integral component of membrane;,  F:ATP binding; F:ATPase activity; F:metalloendopeptidase activity; F:zinc ion binding;,  P:protein catabolic process;
contig-60_322237,binary.seasonlate.and.fall,8.359379791,4.159319065,31.31818128,2.19E-08,1.76E-06,,,, , , , , 
contig-60_131704,binary.seasonlate.and.fall,8.359674246,3.996629977,30.06742038,4.17E-08,2.74E-06,,,, , , , , 
contig-60_230288,binary.seasonlate.and.fall,8.360464441,4.340244993,31.53358182,1.96E-08,1.65E-06,,,, , , , , 
contig-60_123743,binary.seasonlate.and.fall,8.366305562,4.168079104,25.87653405,3.64E-07,1.34E-05,,,, , , , , 
contig-60_2595070,binary.seasonlate.and.fall,8.368810973,3.774499604,29.69065883,5.07E-08,3.12E-06,P32393,ComE operon protein 2,, PF00383;, GO:0004132;GO:0008270;GO:0006220;, ,  F:dCMP deaminase activity; F:zinc ion binding;,  P:pyrimidine nucleotide metabolic process;
contig-60_2582517,binary.seasonlate.and.fall,8.369321615,4.144420449,18.19333899,2.00E-05,0.000420465,,,, , , , , 
contig-60_820899,binary.seasonlate.and.fall,8.36985832,3.877661165,31.60582532,1.89E-08,1.61E-06,P04520,DNA primase,DNA primase gp61;DNA priming protein;, PF08275;, GO:0016740;GO:0006260;, ,  F:transferase activity;,  P:DNA replication;
contig-60_1623,binary.seasonlate.and.fall,8.374990268,4.532612981,27.78394852,1.36E-07,6.36E-06,,,, , , , , 
contig-60_87121,binary.seasonlate.and.fall,8.375856644,5.100779118,27.99527749,1.22E-07,5.83E-06,,,, , , , , 
contig-60_110243,binary.seasonlate.and.fall,8.376184538,4.666028844,34.49457057,4.27E-09,7.97E-07,A9A413,Probable transaldolase {ECO:0000255|HAMAP-Rule:MF_00494},, PF00923;, GO:0005737;GO:0005622;GO:0016832;GO:0004801;GO:0005975;GO:0006098;,  C:cytoplasm; C:intracellular;,  F:aldehyde-lyase activity; F:sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase activity;,  P:carbohydrate metabolic process; P:pentose-phosphate shunt;
contig-60_1259,binary.seasonlate.and.fall,8.379202618,6.40351555,29.4678189,5.69E-08,3.39E-06,Q5UQN0,Uncharacterized protein L437,, PF04665;, , , , 
contig-60_1384023,binary.seasonlate.and.fall,8.379640293,4.31493714,20.83165671,5.01E-06,0.000120217,,,, , , , , 
contig-60_85995,binary.seasonlate.and.fall,8.380098423,4.495763071,25.93505562,3.53E-07,1.31E-05,,,, , , , , 
contig-60_8143,binary.seasonlate.and.fall,8.380226647,4.661003601,28.43207816,9.70E-08,4.91E-06,Q58YV9 Q5JBG3,O-antigen biosynthesis glycosyltransferase WbnK {ECO:0000305},"GDP-Fuc:beta-D-Gal-1,3-alpha-D-GalNAc-1,3-alpha-GalNAc-diphosphoundecaprenol alpha-1,2-fucosyltransferase {ECO:0000305};", PF01531;, GO:0016020;GO:0008107;GO:0009243;,  C:membrane;,  F:galactoside 2-alpha-L-fucosyltransferase activity;,  P:O antigen biosynthetic process;
contig-60_25259,binary.seasonlate.and.fall,8.382445758,4.366876929,35.67309647,2.33E-09,6.10E-07,,,, , , , , 
contig-60_1439415,binary.seasonlate.and.fall,8.382813699,4.655269353,24.41394536,7.77E-07,2.49E-05,,,, , , , , 
contig-60_64088,binary.seasonlate.and.fall,8.383024868,3.893913902,23.14233101,1.50E-06,4.28E-05,,,, , , , , 
contig-60_63337,binary.seasonlate.and.fall,8.391712928,5.238287753,28.72202084,8.35E-08,4.43E-06,,,, , , , , 
contig-60_4820749,binary.seasonlate.and.fall,8.393671901,4.182320076,25.61967258,4.16E-07,1.49E-05,Q5UQV1,Uncharacterized protein R354,, PF09588;, , , , 
contig-60_1731069,binary.seasonlate.and.fall,8.394277089,4.012165964,24.37486151,7.93E-07,2.53E-05,,,, , , , , 
contig-60_6003,binary.seasonlate.and.fall,8.395407624,5.363149943,26.52624038,2.60E-07,1.04E-05,P03695 Q38555,Single-stranded DNA-binding protein,Gp32;Helix-destabilizing protein;, PF08804;, GO:0046872;GO:0003697;GO:0039686;GO:0006310;GO:0006281;GO:0006260;, ,  F:metal ion binding; F:single-stranded DNA binding;,  P:bidirectional double-stranded viral DNA replication; P:DNA recombination; P:DNA repair; P:DNA replication;
contig-60_521183,binary.seasonlate.and.fall,8.400636018,3.647864523,31.12864995,2.41E-08,1.87E-06,,,, , , , , 
contig-60_3845,binary.seasonlate.and.fall,8.402022322,4.218195139,31.29547959,2.22E-08,1.78E-06,,,, , , , , 
contig-60_615586,binary.seasonlate.and.fall,8.403122948,4.141545987,27.47257357,1.59E-07,7.18E-06,,,, , , , , 
contig-60_477953,binary.seasonlate.and.fall,8.405978086,4.014797083,36.56742364,1.47E-09,5.19E-07,Q6WI70,DNA-directed DNA polymerase {ECO:0000255|HAMAP-Rule:MF_04100},Gene product 43;, PF00136;PF03104;, GO:0008408;GO:0003677;GO:0003887;GO:0046872;GO:0000166;GO:0039686;GO:0006260;, ,  F:3'-5' exonuclease activity; F:DNA binding; F:DNA-directed DNA polymerase activity; F:metal ion binding; F:nucleotide binding;,  P:bidirectional double-stranded viral DNA replication; P:DNA replication;
